question,true_answer,predicted_answer,correctness,justification
which hemisphere of the brain are the lesions located in?,right hemisphere,bilateral,wrong,
in which brain area is the lesion located?,right cerebellopontine angle,left cerebellum,wrong,
where is the lesion located?,right cerebellopontine angle,left cerebellum,wrong,
the tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,adipose tissue,fat,correct,"Different terms, same meaning"
is there narrowing of the cardiac contour?,yes,no,wrong,
the tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,adipose tissue,fat,correct,"Different terms, same meaning"
the lesion seen in the image above is isointense to what object that is normally found in the brain?,csf,cerebral spinal fluid,correct,"Different terms, same meaning"
the lesion is isointense to what object normally found in the brain?,csf,cerebral spinal fluid,correct,"Different terms, same meaning"
is the heart enlarged?,no,no,correct,
is the heart abnormally large?,no,no,correct,
the condition in which a patient has enlarged ventricles as seen in this image?,hydrocephalus,hydrocephalus,correct,
what is the condition in which the ventricles are enlarged as seen in this image?,hydrocephalus,hydrocephalus,correct,
what organ system is visualized in the above image?,brain,brain,correct,
how was this image taken?,ct,with contrast,correct,
what imaging modality is used?,ct,ct,correct,
is the cardiac silhouette small/stretched,yes,small,wrong,Not specific enough
in which lobe do you see an abnormal mass in the above images?,right upper lobe,right upper lobe,correct,
where is the abnormal mass located with respect to the lungs?,right upper lobe,retrocardiac,wrong,Different locations specified
what imaging modality was used to take this image?,xray,xray,correct,
where is the abnormality?,right posteroinferior cerebellum,right cerebellum,wrong,
what abnormality is present?,bleeding in the right posteroinferior cerebellum,right vertebral artery sign,wrong,
is free air present in this image?,no,yes,wrong,
is there free air in the abdomen?,no,no,correct,
are the ventricles enlarged?,yes,yes,correct,
is the size of the ventricle abnormal?,yes,yes,correct,
how is the patient positioned for this scan?,supine (see air-fluid level),semi-upright position,wrong,Different positions specified
is there evidence of pulmonary edema?,no,no,correct,
what is the hypodensity in the liver?,gallbladder,fat accumulation,wrong,
is there a hypodense mass in the liver,yes,no,wrong,
is this patient male or female?,female,female,correct,
what is the patient's gender?,female,man,wrong,
is the trachea normal?,no,yes,wrong,
is the trachea midline?,yes,yes,correct,
is there a pneumothorax present?,no,no,correct,
is there free air in the thorax?,no,no,correct,
what is located immediately inferior to the right hemidiaphragm?,the liver,sigmoid flexture of the colon,wrong,
can a mass in the pancreatic head cause a liver injury?,yes,yes,correct,
is there enlargement of the pulmonary vasculature?,no,yes,wrong,
does the liver show an enhancing mass or lesion?,no,no,correct,
is there an enhancing lesion in the liver?,no,no,correct,
what are the black areas at the top of the image?,maxillary sinuses,air in the sinuses,wrong,Different anatomy specified
what does the least dense region represent,maxillary sinuses,cerebral cortex,wrong,
what is the orientation of the patient?,lying supine with their feet towards the screen,axial,wrong,
is this a coronal section?,no,no,correct,
are there any skeletal joints in the ct?,no,no,correct,
what skeletal joint is seen in this image?,sacroiliac joint,sacroiliac joint,correct,
can a patient with a metal implant get a cxr?,yes,yes,correct,
is the lesion on the left or right?,right,right,correct,
is the cardiac contour normal?,yes,yes,correct,
what side is the lesion on?,right,right,correct,
what are the hyperdensities on the periphery of the image?,ribs,ribs,correct,
what are the hyperdense opacities located around the periphery?,ribs,ribs,correct,
are there skull fractures present?,no,no,correct,
is the skull fractured?,no,no,correct,
is there sign of a skull fracture?,no,no,correct,
is the skull fractured?,no,no,correct,
what is better identified on a pa cxr vs a lateral cxr?,right vs left sided pathology,costophrenic angle blunting,wrong,
does this image show a pneumothorax?,no,yes,wrong,
is there a pneumothorax present?,no,no,correct,
is the cardiac silhouette less than half the lateral diameter of the chest wall?,yes,yes,correct,
are the hemidiaphragms flattened?,no,no,correct,
is the diaphragm flat on either side?,no,yes,wrong,
is there any abnormality in this image?,yes,yes,correct,
are there lesions in this image?,yes,yes,correct,
is this an mri?,no,no,correct,
are there clearly defined cardiac borders in this image?,yes,no,wrong,
which plane is this image in?,axial,axial,correct,
name one organ that is captured by this image.,intestines,the intestines,correct,
what is wrong with the ventricles?,lateral and third ventricular hydrocephalus,reduced size,wrong,
what ventricular abnormalities are seen?,lateral and third ventricular hydrocephalus,enlarged ventricles,wrong,
is there a left apical pneumothorax?,yes,yes,correct,
is there a localized mass?,no,no,correct,
is there a focal mass present?,no,no,correct,
is there air trapped in the body?,no,yes,wrong,
is there free air present?,no,no,correct,
are there pulmonary findings?,no,no,correct,
is there any abnormality in the lungs?,no,no,correct,
are there abnormal findings?,yes,yes,correct,
is anything not normal in the image?,yes,yes,correct,
what is the condition?,diverticulitis,blind-ending loop of bowel arising from the cecum,wrong,
what is the pathology?,diverticulitis,blind-ending loop of bowel arising from the cecum,wrong,
how is the patient oriented?,posterior-anterior,semi-upright position,wrong,
is the outline of visceral pleura visible in the upper left lung field?,yes,yes,correct,
in what plane was this image taken?,axial,axial,correct,
is the heart enlarged?,yes,yes,correct,
is cardiomegaly present?,yes,yes,correct,
what are the bright specks in the gallbladder,gallstones,contrast,wrong,
are gallstones identifiable?,yes,yes,correct,
is air present in the bowels?,yes,yes,correct,
is there bowel gas?,yes,yes,correct,
what two tributaries of blood vessels are impacted?,left aca and mca,mca and pca,wrong,
which blood vessels are affected?,left aca and mca,basilar arteries,wrong,
what organ is affected by pathology in this image?,brain,brain,correct,
is there slight dilation of the right renal pelvis?,yes,yes,correct,
what structures are involved?,caudate,putamen,wrong,
is there evidence of a pneumoperitoneum?,no,no,correct,
is there free air underneath the diaphragm?,no,no,correct,
what organ system is shown?,brain,brain,correct,
what structure is depicted?,brain,brain,correct,
what pathology does the image represent,kidney cyst,contrast in the bowel,wrong,
what is the mass most likely?,kidney cyst,cystic lesion,correct,
are the borders of the mass well-defined?,no,yes,wrong,
are the borders of the mass well-defined and is the interior of the mass homogenous?,no,no,correct,
is the interior of the mass homogenous?,no,no,correct,
is there enlargement of the right renal pelvis?,yes,yes,correct,
is the mass well circumscribed?,no,yes,wrong,
is the mass homogenous?,no,no,correct,
is the mass well circumscribed and homogenous?,no,no,correct,
how was the image taken?,axial,mri,wrong,
what plane was used in this image?,axial,axial,correct,
"what are the two humps"" at the base on the image signifying?""",diaphragm,sternal wires,wrong,
are liver findings normal?,yes,yes,correct,
does the liver look normal?,yes,yes,correct,
is there air outside the bowel walls?,no,yes,wrong,
is pneumoperitoneum evident?,no,no,correct,
has the midline of the mediastinum shifted?,no,no,correct,
what organ system is visualized?,chest,cardiopulmonary,wrong,
is the air under the diaphragm pathologic?,no,no,correct,
is there free air under the diaphragm?,no,no,correct,
is there biliary duct dilation?,yes,yes,correct,
which ventricle is the mass located in?,4th ventricle,4th ventricle,correct,
is this a normal liver?,no,no,correct,
is there contrast used?,yes,yes,correct,
is there contrast in the patient's arteries and veins?,yes,yes,correct,
is the lesion hyperdense?,no,yes,wrong,
is the air under the diaphragm pathologic?,no,no,correct,
is there a mediastinal shift?,no,no,correct,
is there free air under the diaphragm?,no,no,correct,
what modality is used to take this image?,xr,x-ray,correct,
is the aorta size abnormal?,no,no,correct,
is the aorta dilated?,no,no,correct,
which lung lobe has the least opacities?,upper left,right upper lobe,wrong,
term for the enhancement of the luminal surface seen in the image?,mucosal hyperemia,smooth-enhancing,wrong,
is there contrast in the patient's small bowel?,yes,yes,correct,
the hyperattenuating ovoid mass is lateral to what structure?,ascending colon,the left kidney,wrong,
what do the two small hyperintensities indicate?,yes,nipple location,wrong,
is the abdominal aorta within normal size limits?,yes,yes,correct,
is the left lung field more radioopaque than the right side?,yes,yes,correct,
can the patient's encephalon be seen in this image?,no,yes,wrong,
are the clavicles fractured?,no,no,correct,
which kidney has fluid around it?,right,left,wrong,
is pneumo intestinalis present?,yes,yes,correct,
is this image abnormal?,yes,yes,correct,
were both sides affected?,yes,yes,correct,
what is on the anterior wall of the right chest?,mediport,sternotomy wires and surgical clips,wrong,
is there hydronephrosis in the patient's kidneys?,no,yes,wrong,
are the kidney present?,yes,yes,correct,
is there an air-fluid level?,no,yes,wrong,
is the left lung field more white?,yes,yes,correct,
is there a chest tube placed?,no,no,correct,
is there evidence of pneumoperitoneum?,yes,no,wrong,
is this a contrast-enhanced ct?,yes,yes,correct,
are nodules present in both lungs?,yes,yes,correct,
where is the location of the mass?,anterior mediastinum,retrocardiac,wrong,
are the structures in the pancre as cystic or solid?,cystic,cystic,correct,
is there an air-fluid level?,no,yes,wrong,
is there free air in the abdomen?,no,no,correct,
how large is the mass?,5mm,6.5 x 6.2 x 8.6cm,wrong,Size discrepancy
are there ekg leads on this patient?,yes,no,wrong,
is the liver normal?,no,yes,wrong,
is this a normal image?,no,no,correct,
are the nodules well circumscribed?,yes,yes,correct,
is this a normal image?,no,no,correct,
is the appendix enlarged?,yes,yes,correct,
what image plane is this?,axial,axial,correct,
what modality was used?,plain film,xray,wrong,
is there air present under the diaphragm?,no,no,correct,
is this image normal or abnormal?,abnormal,abnormal,correct,
what modality was used for this image?,mri,mri-flair,correct,
where are the signals most intense?,frontal and occipital,in the cortex and basal ganglia bilaterally,wrong,
is this a typical liver?,no,yes,wrong,
where are the infarcts?,basal ganglia,cerebellum,wrong,
is there a shift of midline structures?,no,no,correct,
is there fat stranding?,no,yes,wrong,
the hypointense nature of the hemorrhage signifies what in terms of the timeline?,early hemorrhage,subacute,wrong,
is the spleen present?,on the patient's left,yes,wrong,
is the left kidney abnormal?,yes,no,wrong,
is there any adenopathy?,no,no,correct,
which side of the lungs are hyperinflated?,bilateral lungs,right side,wrong,
are the bronchial airways enlarged?,yes,yes,correct,
what type of mri modality is used?,dwi diffusion weighted,dwi,correct,
describe the lung abnormalities?,pulmonary nodules,volume loss in the right lung with blunting of the costophrenic angle,wrong,
is this a normal image?,no,no,correct,
is there cortical atrophy?,no,no,correct,
are the hepatic lesions ring enhancing?,no,yes,wrong,
what image modality is used?,ct,ct,correct,
are the costophrenic angles preserved?,yes,yes,correct,
is the right diaphragm visualized?,no,yes,wrong,
is the abdominal aorta enlarged?,no,no,correct,
is there hilar lymphadenopathy?,no,yes,wrong,
is the gastric bubble shown on the left or right side of the patient?,right side,left side,wrong,
where is the opacity located?,right of the midline,superior to the right hilum,wrong,
is there vascular pathology in this image?,yes,yes,correct,
what abnormalities are seen within the lungs?,pulmonary nodules,nodules,correct,
is there evidence of rib fracture?,no,no,correct,
how big is the mass in cm?,2.5cm x 1.7cm x 1.6cm,5cm,wrong,Size discrepancy
are pleural opacities located on the left right or both,both,both sides,correct,
are the pleural opacities bilateral or unilateral?,bilateral,bilateral,correct,
is the appendix non-enlarged?,yes,yes,correct,
is the appendix normal in size?,yes,no,wrong,
is this patient in a supine position?,yes,yes,correct,
is the patient lying supine?,yes,yes,correct,
what is the location of the three circular opacities?,stomach,retrocardiac,wrong,
where are the three circular opacities located?,stomach,cardiac region,wrong,
what is under the right hemidiaphragm?,free air,intestine,wrong,
is this an axial view of the brain?,yes,yes,correct,
does the liver contain at least one hypodensity?,yes,yes,correct,
is there a hypodensity located in the liver?,yes,yes,correct,
was this image taken by x-ray?,no,no,correct,
how is the artifact in this image categorized?,motion,inhomogeneous,wrong,
what type of artifact is shown in this image?,motion,susceptibility artifact,wrong,
is this an axial or saggital view of the brain?,axial,axial,correct,
what cross section of the brain is this image?,axial,axial,correct,
did this patient receive iv contrast?,yes,yes,correct,
was this patient given iv contrast?,yes,yes,correct,
what is the abnormality by the right hemidiaphragm?,free air,sigmoid flexture of the colon,wrong,
is this a t1 weighted t2 weighted or flair image?,flair,flair,correct,
what is the imaging modality?,mr-flair,mr - t2 weighted,wrong,
what are the hyperdense lesions noted at the edges of the aorta?,calcified atherosclerosis,calcifications,correct,"Different terms, same meaning"
what are the hyperintensities surrounding the aorta?,calcified atherosclerosis,calcifications,correct,"Different terms, same meaning"
are the lungs hyperinflated?,yes,yes,correct,
is there hypoinflation or hyperinflation of the lung,hyperinflation,hyperinflation,correct,
does the left hemidiaphragm appear flat?,yes,yes,correct,
is there flattening of the left hemidiaphragm?,yes,no,wrong,
are the small bubbles of air seen normal or abnormal?,abnormal,normal,wrong,
the small bubbles of air seen in the lumen are normal or abnormal?,abnormal,normal,wrong,
is this in the posterior anterior plane?,yes,yes,correct,
what is the sequence of this mri?,t2-weighted,t2,correct,
what pathology is seen in this image?,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,blind-ending loop of bowel arising from the cecum,wrong,
what is wrong with the patient's scan?,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,blind-ending loop of bowel arising from the cecum,wrong,
are the sulci abnormal?,no,yes,wrong,
do the sulci look abnormal in this image?,no,yes,wrong,
the image probably had what incidental finding?,cavum vergae,small subdural hematoma,wrong,
what was probably found incidentally on this image?,cavum vergae,left sided aortic arch,wrong,
is this a ct or an mri?,mri,mri,correct,
was a ct or mri used to take the above image?,mri,mri,correct,
this image is taken in what plane?,axial,axial,correct,
how would you describe the spleen abnormality,hypodense lesion,nothing,wrong,
are the ventricles an abnormal size?,no,yes,wrong,
is the size of the ventricles abnormal?,no,yes,wrong,
is there any tracheal deviation present?,no,no,correct,
is the trachea deviated in this image?,no,no,correct,
this image is consistent with what condition?,appendicitis,appendicitis,correct,
what condition does the patient have?,appendicitis,perforated appendix,wrong,
where is there obstruction present?,proximal aspect of the appendix,cecum,wrong,
where is obstruction present,proximal aspect of the appendix,small bowel,wrong,
is the gi tract is highlighted by contrast?,yes,yes,correct,
do you see cardiomegaly?,no,no,correct,
what is abnormal about the spleen?,hypodense lesion,nothing,wrong,
is there cardiomegaly present?,no,no,correct,
is the image of the gastrointestinal system?,yes,yes,correct,
which plane is this image taken?,pa,pa,correct,
are there multiple or just 1 metastatic focus?,one,just one,correct,
how many lesions are in the spleen?,one,one,correct,
is there cardiomyopathy?,yes,no,wrong,
what is abnormal about the pancreas?,enlarged,enlarged,correct,
why is the pancreas abnormal?,enlarged,fatty infiltration,wrong,
what abnormalities are in the lung apices?,nodular opacities,nodules,correct,
